aggregation_level,service_mode,reporting_group,measure_group,measure,category,weighted_percent,ObjectId
Reporting Group,Bus,Brighton/Allston/Watertown - Boston,Fares,Reduced Fares,Transportation Access Pass (TAP),0.00712906,2020
Reporting Group,Commuter Rail,Providence/Stoughton Line,Fares,Reduced Fares,Full Fare - Subsidized by Employer,0.159443092,4731
Service Mode,Bus,All Bus,Race and Ethnicity,Hispanic or Latino/Latina,Prefer not to say,0.008475238,12977
Service Mode,Commuter Rail,All Commuter Rail,Alternative Modes,Alternative Mode,Other,0.008654103,12831
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Brigham Circle to Heath Street,Fares,Fare Product,7-day Pass,0.180680091,6120
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Ashmont,Vehicles,Cars per Capita,Strictly between 0 and 0.5,0.373992467,10687
Reporting Group,Bus,15,Fares,Fare Product,7-day Pass,0.273454239,773
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Boylston,Race and Ethnicity,Race,Black or African American,0.201999497,6370
Reporting Group,Bus,Malden/Everett - North,Race and Ethnicity,Race,Prefer not to say,0.069900715,2930
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Reservoir to Newton Highlands,Other Demographics,Age,26 to 34,0.332976514,7603
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Maverick,Race and Ethnicity,Race,White,0.550135672,5494
Reporting Group,Bus,Cambridge/Arlington - Harvard,Vehicles,Cars per Capita,0,0.479529617,2421
Reporting Group,Bus,Roxbury/Dorchester/Mattapan/South End - East,Fares,Fare Product,Pay-as-you-go,0.269155966,3412
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Downtown Crossing,Income,Household Income,100% to 140% of Area Median Income,0.075876126,8890
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Gilman Square and East Somerville,Alternative Modes,Alternative Mode,Walk,0.472062143,6724
Service Mode,Rapid Transit or Bus Rapid Transit,All Rapid Transit or Bus Rapid Transit,Race and Ethnicity,Race,Middle Eastern or North African,0.029882416,13315
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Wellington,Race and Ethnicity,Title VI Minority,No,0.41873957,10356
Reporting Group,Bus,66,Access Mode,Access to First MBTA Service,Carpooled or Dropped off by Personal Vehicle,0.01437906,1800
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Sullivan Square,Alternative Modes,Alternative Mode,Private Shuttle or Other Transit,0.0,9728
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Harvard Avenue,Other Demographics,Gender,Non-Binary,0.037615687,6988
Reporting Group,Bus,Somerville/Medford/Charlestown - West,Race and Ethnicity,Race,White,0.559554779,3791
Reporting Group,Bus,111,Fares,Reduced Fares,Transportation Access Pass (TAP),0.003095811,312
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Griggs Street to Warren Street,Other Demographics,Gender,Woman,0.397775067,7160
Reporting Group,Bus,9,Other Demographics,Gender,Woman,0.631652928,2058
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Symphony,Income,Household Income,140% to 200% of Area Median Income,0.030384739,8216
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Braintree,Alternative Modes,Alternative Mode,Drive Alone,0.400041439,10762
Reporting Group,Bus,47,Income,Household Income,60% to 80% of Area Median Income,0.193507811,1434
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Copley,Fares,Reduced Fares,Full Fare,0.775422019,6444
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Alternative Modes,Alternative Mode,Taxi or Rideshare Company,0.282036521,7792
Reporting Group,Bus,Malden/Everett - South,Fares,Reduced Fares,Full Fare,0.863104228,2859
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Kenmore,Race and Ethnicity,Hispanic or Latino/Latina,Yes,0.191785563,7586
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Fenway and Longwood,Fares,Reduced Fares,Senior CharlieCard,0.025497331,6642
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Government Center,Race and Ethnicity,Race,American Indian or Alaska Native,0.039204538,7067
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Boylston,Other Demographics,Gender,Man,0.368252989,6180
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Prudential,Alternative Modes,Alternative Mode,Private Shuttle or Other Transit,0.029794972,7880
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Fenway and Longwood,Race and Ethnicity,Race,Native Hawaiian or other Pacific Islander,0.006778983,6479
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Revere Beach,Fares,Fare Product,Monthly Pass,0.361526489,5400
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Blandford Street to BU Central,Income,Title VI Low-Income,Yes,0.84243642,6014
Reporting Group,Rapid Transit or Bus Rapid Transit - Blue Line,Wonderland,Fares,Reduced Fares,Transportation Access Pass (TAP),0.00543476,5763
Reporting Group,Bus,Cambridge/Arlington - Harvard,Race and Ethnicity,Race,Other,0.015806059,2406
Reporting Group,Commuter Rail,Kingston Line,Fares,Reduced Fares,Senior CharlieCard,0.006182335,4105
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Jackson Square,Race and Ethnicity,Hispanic or Latino/Latina,Yes,0.298825193,9369
Reporting Group,Commuter Rail,Fitchburg Line,Vehicles,Cars per Capita,Strictly between 0 and 0.5,0.286603535,3729
Reporting Group,Rapid Transit or Bus Rapid Transit - Silver Line BRT,SL3,Vehicles,Cars per Capita,Strictly between 0 and 0.5,0.272915467,12336
Reporting Group,Bus,Roxbury/Dorchester/Mattapan/South End - West,Trip Purpose and Frequency,Frequency,3 to 4 days per week,0.207096252,3448
Reporting Group,Rapid Transit or Bus Rapid Transit - Red Line,Harvard,Fares,Reduced Fares,Student (S-Card or M7),0.020373779,10815
Reporting Group,Commuter Rail,Kingston Line,Access Mode,Access to First MBTA Service,Walked,0.563421306,4078
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Magoun Square,Income,Household Income,140% to 200% of Area Median Income,0.06396448,7448
Reporting Group,Rapid Transit or Bus Rapid Transit - Orange Line,Tufts Medical Center,Alternative Modes,Used Alternative Mode,No,0.912056189,10257
Reporting Group,Bus,Malden/Everett - North,Trip Purpose and Frequency,Trip Purpose,Home-based Work,0.565131094,2958
Rapid Transit or Bus Rapid Transit Line,Rapid Transit or Bus Rapid Transit - Orange Line,All Orange Line,Other Demographics,Gender,Man,0.395930299,12518
Reporting Group,Bus,47,Fares,Reduced Fares,Transportation Access Pass (TAP),0.005335576,1431
Reporting Group,Commuter Rail,Kingston Line,Vehicles,Usable Cars,2,0.346506649,4171
Reporting Group,Bus,71,Race and Ethnicity,Race,Other,0.046461643,1787
