X,Y,FID,Brf_Status,FID_,Field1,Stop_ID,Stop_Name,Longitude,Latitude,Municip,PATI_Prgrm,Brf_Stat_1,Routes,Bus_Ctgry,Trash17,BikeRks17,Trees17,Hydrants17,UtPoles17,LtPoles17,NewsBxs17,MailBxs17,Planters17,BlkdPath17,SeatNum17,SeatType17,SeatCond17,Stop_ID_1,Program,PATI_Prior
-7900666.53152446,5195587.59625812,2997,Other,2506,2505,3799,Quincy Ave @ Hayward St,-70.972895,42.230617,Braintree, , ,225,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,3799,Unprogrammed,Medium
-7915815.66706805,5222222.60042177,4591,Other,2213,3411,5294,Main St @ Wellesley St,-71.108982,42.407532,Medford, , ,101,Local Bus,0,0,0,0,1,0,0,0,0,No,0, , ,5294,Unprogrammed,Medium
-7896808.08665408,5233551.19736242,246,Compliant,4735,4319,6849,Eastern Ave @ Glenwood St,-70.938234,42.482628,Lynn,PATI Future,In progress,"424, 456",Local Bus,0,0,1,0,0,0,0,0,0,No,0, , ,6849,PATI Phase 2,Compliant
-7911146.81630469,5226874.37724227,1468,In progress,5883,5482,9220,Main St opp Fairlawn St,-71.067041,42.438379,Malden,PATI Future,In progress,"131, 137",Local Bus,0,0,0,0,0,1,0,0,0,No,0, , ,9220,PATI Phase 2,Medium
-7915069.0472433,5209479.22149648,1836,Other,1534,733,1155,Centre St @ Bickford St,-71.102275,42.32295,Boston, , ,41,Local Bus,0,0,0,0,0,0,0,2,0,No,0, , ,1155,Unprogrammed,Medium
-7900432.7605938,5215176.68265884,6092,Other,6108,6907,109848,Shirley St @ Bay View Ave,-70.970795,42.36078,Winthrop, , ,"712, 713",Local Bus,0,0,0,0,1,0,0,0,0,No,0, , ,109848,Unprogrammed,Medium
-7922470.90282513,5213623.2838162,1719,Other,1389,588,912,Tremont St @ Washington St,-71.168767,42.350468,Boston, , ,"57, 501",Key Bus,0,0,2,0,0,0,0,0,0,No,0, , ,912,Unprogrammed,Medium
-7897700.75765075,5233166.29459497,3540,Other,3774,2973,4480,Western Ave opp Tracey Ave,-70.946253,42.480078,Lynn, , ,"424, 450",Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,4480,Unprogrammed,Medium
-7904372.69133145,5185075.99648195,3403,Other,2585,2584,3902,N Franklin St @ Belcher St,-71.006188,42.16066,Holbrook, , ,230,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,3902,Unprogrammed,Medium
-7917494.03103074,5192170.65467031,3928,Other,6215,7012,121014,Royall St @ JW Foster Blvd,-71.124059,42.207885,Canton, , ,716,Local Bus,0,0,0,0,0,0,0,0,0, ,0, , ,121014,Unprogrammed,Medium
