Month,Year,daytype,All Bus,Blue Line,Bus,Commuter Rail,Ferry,Green Line,Heavy Rail,Light Rail,Mattapan Line,Orange Line,Private Bus,Red Line,Silver Line,The RIDE,Trackless Trolley
April,2019,Saturday,199737.0,43118.0,172720.0,18731.0,,126857.0,272774.0,126857.0,,106976.0,,122680.0,21885.0,3037.0,5132.0
April,2019,Sunday,129362.0,32580.0,111643.0,12877.0,,94513.0,201049.0,94513.0,,76286.0,,92184.0,17720.0,2984.0,
April,2019,Total,329252.0,59256.0,285146.0,89657.0,3952.0,168147.0,450028.0,168147.0,,174197.0,2680.0,216575.0,33178.0,5256.0,8248.0
April,2019,Weekday,391346.0,67041.0,340050.0,120726.0,5138.0,189042.0,527525.0,189042.0,,204221.0,3217.0,256264.0,37412.0,6063.0,10667.0
April,2020,Saturday,69931.0,5205.0,63158.0,340.0,,5923.0,29604.0,5923.0,,11314.0,,13085.0,6773.0,775.0,
April,2020,Sunday,47994.0,3978.0,41710.0,232.0,,4622.0,23321.0,4622.0,,8746.0,,10597.0,6284.0,381.0,
April,2020,Total,78521.0,6813.0,70513.0,1834.0,,7762.0,39911.0,7762.0,,15461.0,525.0,17637.0,7483.0,898.0,
April,2020,Weekday,85754.0,7621.0,77087.0,2397.0,,8667.0,44801.0,8667.0,,17436.0,837.0,19744.0,7830.0,927.0,
April,2021,Saturday,126389.0,22062.0,111032.0,5882.0,,43755.0,116520.0,43755.0,,42027.0,1104.0,52431.0,12122.0,,2131.0
April,2021,Sunday,76283.0,15030.0,66528.0,3599.0,,28022.0,76244.0,28022.0,,27103.0,469.0,34110.0,9285.0,,
April,2021,Total,159103.0,24418.0,140978.0,13546.0,289.0,46867.0,136317.0,46867.0,,50928.0,1140.0,60971.0,14114.0,2084.0,2870.0
April,2021,Weekday,173694.0,26553.0,154244.0,16747.0,394.0,50859.0,150839.0,50859.0,,56878.0,1269.0,67408.0,14758.0,2438.0,3423.0
April,2022,Saturday,157550.0,29163.0,139085.0,22592.0,,86904.0,176892.0,86904.0,,71714.0,1024.0,76015.0,17442.0,1729.0,
April,2022,Sunday,100034.0,23427.0,85697.0,19197.0,,62984.0,129776.0,62984.0,,50354.0,560.0,55995.0,13777.0,1433.0,
April,2022,Total,221653.0,33976.0,197591.0,50309.0,1743.0,95950.0,236631.0,95950.0,,93106.0,1522.0,109549.0,22540.0,2789.0,
April,2022,Weekday,260082.0,37131.0,232834.0,62834.0,2306.0,104383.0,271208.0,104383.0,,106343.0,1824.0,127734.0,25424.0,3299.0,
April,2023,Saturday,170784.0,35502.0,151468.0,31331.0,,100120.0,159932.0,101640.0,1519.0,56407.0,1351.0,68023.0,17964.0,1760.0,
April,2023,Sunday,111657.0,26520.0,95555.0,23306.0,,72793.0,116194.0,73754.0,961.0,41341.0,768.0,48332.0,15334.0,1523.0,
April,2023,Total,237283.0,40869.0,211591.0,69179.0,2718.0,112635.0,229925.0,115146.0,2511.0,84343.0,1885.0,104713.0,23807.0,2905.0,
April,2023,Weekday,276122.0,45798.0,247635.0,85092.0,3758.0,125724.0,275856.0,128870.0,3146.0,102078.0,2298.0,127980.0,26189.0,3536.0,
April,2024,Saturday,180035.0,27893.0,158811.0,28872.0,,84629.0,173341.0,85943.0,1314.0,65215.0,,80234.0,21224.0,1915.0,
